Level 0 URI,Level 0 preferred term,Level 1 URI,Level 1 preferred term,Level 2 URI,Level 2 preferred term,Level 3 URI,Level 3 preferred term,Description,Scope note,Level 0 code,Level 1 code,Level 2 code,Level 3 code
http://data.europa.eu/esco/skill/S,Fähigkeiten,http://data.europa.eu/esco/skill/S1,"Kommunikation, Zusammenarbeit und Kreativität",http://data.europa.eu/esco/skill/S1.4,Informationen präsentieren,http://data.europa.eu/esco/skill/S1.4.0,Informationen präsentieren,Presenting oral or visual material to an audience in order to provide or interpret information.,,S,S1,S1.4,S1.4.0
http://data.europa.eu/esco/skill/S,Fähigkeiten,http://data.europa.eu/esco/skill/S1,"Kommunikation, Zusammenarbeit und Kreativität",http://data.europa.eu/esco/skill/S1.4,Informationen präsentieren,http://data.europa.eu/esco/skill/S1.4.1,Präsentation allgemeiner Informationen,Presenting information of a non-technical nature to an audience.,"Excludes:
- Presenting information in legal proceedings
- Presenting research or technical information

Examples:
- Give live presentation
- Deliver presentations on tourism 
- Present reports",S,S1,S1.4,S1.4.1
http://data.europa.eu/esco/skill/S,Fähigkeiten,http://data.europa.eu/esco/skill/S1,"Kommunikation, Zusammenarbeit und Kreativität",http://data.europa.eu/esco/skill/S1.4,Informationen präsentieren,http://data.europa.eu/esco/skill/S1.4.2,Präsentation von Forschungs- oder fachlichen Informationen,"Presenting information of a technical or academic nature to an audience, including presenting the results of research.","Examples:
- Present legislation proposal
- Present detailed design proposal
- Perform lectures
- Deliver visual presentation of data",S,S1,S1.4,S1.4.2
http://data.europa.eu/esco/skill/S,Fähigkeiten,http://data.europa.eu/esco/skill/S1,"Kommunikation, Zusammenarbeit und Kreativität",http://data.europa.eu/esco/skill/S1.4,Informationen präsentieren,http://data.europa.eu/esco/skill/S1.4.3,Präsentation von Informationen in Gerichtsverfahren,"Testifying, presenting evidence or representing clients during legal proceedings.","Examples:
- Present evidence
- Represent clients in court",S,S1,S1.4,S1.4.3
http://data.europa.eu/esco/skill/S,Fähigkeiten,http://data.europa.eu/esco/skill/S1,"Kommunikation, Zusammenarbeit und Kreativität",http://data.europa.eu/esco/skill/S1.5,Beraten,,,"Providing guidance and advice to enable decision-making about tasks, situations, and processes.","Excludes:
- Psychological, behavioural and social counselling; see S3.1.1",S,S1,S1.5
http://data.europa.eu/esco/skill/S,Fähigkeiten,http://data.europa.eu/esco/skill/S1,"Kommunikation, Zusammenarbeit und Kreativität",http://data.europa.eu/esco/skill/S1.5,Beraten,http://data.europa.eu/esco/skill/S1.5.0,Beraten,"Providing guidance and advice to enable decision-making about tasks, situations, and processes.","Excludes:
- Psychological, behavioural and social counselling; see S3.1.1",S,S1,S1.5,S1.5.0
http://data.europa.eu/esco/skill/S,Fähigkeiten,http://data.europa.eu/esco/skill/S1,"Kommunikation, Zusammenarbeit und Kreativität",http://data.europa.eu/esco/skill/S1.5,Beraten,http://data.europa.eu/esco/skill/S1.5.1,"Beratung zu Rechts-, Regulierungs- oder Verfahrensfragen","Discussing legal matters with clients, disputants, or legal professionals or staff. Explaining and providing advice to others on legal matters, regulations, policies or procedures.","Examples:
- Advise on social service process
- Provide legal advice",S,S1,S1.5,S1.5.1
http://data.europa.eu/esco/skill/S,Fähigkeiten,http://data.europa.eu/esco/skill/S1,"Kommunikation, Zusammenarbeit und Kreativität",http://data.europa.eu/esco/skill/S1.5,Beraten,http://data.europa.eu/esco/skill/S1.5.2,Finanzberatung,Explaining financial information and providing financial advice.,"Examples:
- Advise on investment
- Explain financial technicalities to clients",S,S1,S1.5,S1.5.2
http://data.europa.eu/esco/skill/S,Fähigkeiten,http://data.europa.eu/esco/skill/S1,"Kommunikation, Zusammenarbeit und Kreativität",http://data.europa.eu/esco/skill/S1.5,Beraten,http://data.europa.eu/esco/skill/S1.5.3,Beratung zu Waren und Dienstleistungen,Advising others on products or services explaining technical details.,"Examples:
- Advise customers on new equipment
- Provide advice on travel destinations",S,S1,S1.5,S1.5.3
http://data.europa.eu/esco/skill/S,Fähigkeiten,http://data.europa.eu/esco/skill/S1,"Kommunikation, Zusammenarbeit und Kreativität",http://data.europa.eu/esco/skill/S1.5,Beraten,http://data.europa.eu/esco/skill/S1.5.4,Medizinische Beratung,"Explaining medical and healthcare information to patients or family members and/or advising them on medical, health or wellness issues.","Includes:
- Providing advice on animal health

Examples:
- Advise on rehabilitation exercises
- Advise on medical device features
- Offer advice on diet related concerns
- Explain the molecular basis of a disease to patients",S,S1,S1.5,S1.5.4
