,URIs,"(index, label)"
159,"(379, 9, 380, 381, 62, 382, 383)","(159, 'wartung von elektrisch anlage an flughafen terminieren')"
160,"(384, 385, 122)","(160, 'prästationär notfall-traumaversorgung leisten')"
161,"(386, 29, 387)","(161, 'geschichte der tabak')"
162,"(388, 18)","(162, 'eventmanagement durchführen')"
163,"(378, 389, 311)","(163, 'gesprochen walisisch verstehen')"
164,"(390, 182)","(164, 'ikt-datenklassifizierung steuern')"
165,"(391, 315)","(165, 'bögenaufzeichnung führen')"
166,"(392, 393)","(166, 'gummilösung aufpinsel')"
167,"(394, 42)","(167, 'lederwarenkollektion entwickeln')"
168,"(395, 396)","(168, 'problemlösung finden')"
169,"(397, 398, 237)","(169, 'kulturell trend analysieren')"
170,"(399, 65, 400, 165)","(170, 'wasserqualität in gehegen beurteilen')"
171,"(29, 401, 107, 402, 311)","(171, 'der aufbau ein live-performance verstehen')"
172,"(403, 62, 404, 51, 405, 406)","(172, 'elektrolyt an kathode und anode einsetzen')"
173,"(407,)","(173, 'haarschneidetechnike')"
174,"(408, 1)","(174, 'forderungsanmeldung verwalten')"
175,"(296, 409)","(175, 'tier retten')"
176,"(194, 65, 410, 37)","(176, 'schiff in hafenbecken leiten')"
177,"(411,)","(177, 'kriminologie')"
178,"(412,)","(178, 'informationsstruktur')"
179,"(413, 414)","(179, 'klimafreundlich landwirtschaft')"
180,"(272, 275)","(180, 'material prüfen')"
181,"(415, 9, 416, 417)","(181, 'anzeige von fahrgastinformation aktualisieren')"
182,"(418, 28, 419, 315)","(182, 'betrieb auf vorplatz führen')"
183,"(82, 420)","(183, 'fracht entladen')"
184,"(421,)","(184, 'fotogrammetrie')"
185,"(297, 26, 422, 423, 424, 29, 425, 426, 427)","(185, 'sich mit programmgestalter programmgestalterinn hinsichtlich der geplant beratertätigkeit abstimmen')"
186,"(428, 429)","(186, 'glücksspielregel mitteilen')"
187,"(430, 102)","(187, 'zugabfahrt kontrollieren')"
188,"(26, 431, 432, 40)","(188, 'mit zahnmedizinisch werkstoff umgehen')"
189,"(433, 434)","(189, 'forensisch pathologie')"
190,"(435, 436, 93, 437, 1)","(190, 'temporär ikt-netze für live-auftritt verwalten')"
191,"(438, 29, 439)","(191, 'technik der blutabnahme')"
192,"(440, 65, 441)","(192, 'hygiene in gesundheitsbereich')"
193,"(442, 443)","(193, 'bierrezept kreieren')"
194,"(372, 9, 444, 445)","(194, 'herstellung von kunststoffprodukt abschließen')"
195,"(60, 446, 447, 448, 449, 28, 29, 450, 451, 46)","(195, 'bei digital wandel industriell prozeß auf der neu stand sein')"
196,"(452, 203)","(196, 'anderer beraten')"
