,URIs,"(index, label)"
771,"(1398, 718)","(771, 'leistungselektronik modellieren')"
772,"(145, 1399, 1010)","(772, 'medizinisch krebstherapie anbieten')"
773,"(1400, 529)","(773, 'form konstruieren')"
774,"(1401, 1402)","(774, 'green it')"
775,"(1403, 29, 1404)","(775, 'anatomie der bewegungsapparat')"
776,"(1405, 259)","(776, 'biogasanlage betreiben')"
777,"(1406, 9, 194, 165)","(777, 'trimmung von schiff beurteilen')"
778,"(1407, 65, 1408, 1409, 541)","(778, 'mangel in zugsicherungssystemen ausfindig machen')"
779,"(1410,)","(779, 'gebäudeüberwachungstechnik')"
780,"(788, 220)","(780, 'ukrainisch schreiben')"
781,"(362, 1369)","(781, 'elektronisch testverfahren')"
782,"(1411, 9, 296, 102)","(782, 'fortbewegung von tier kontrollieren')"
783,"(1412, 18)","(783, 'fahrzeugwartung durchführen')"
784,"(1413, 980)","(784, 'turmdrehkran aufbauen')"
785,"(285, 1368)","(785, 'dienstleistung verkaufen')"
786,"(1414, 1415)","(786, 'psychiatrisch diagnostik')"
787,"(1416,)","(787, 'parasitologie')"
788,"(1417, 1418, 272, 65, 29, 1419, 1218)","(788, 'ungeschnitten audiovisuell material in der computer übertragen')"
789,"(658, 120, 1420, 180)","(789, 'instrument zu venenpunktion verwenden')"
790,"(1421, 1171)","(790, 'schallplatten-etikett anbringen')"
791,"(1422, 564, 142)","(791, 'dermatologisch probe untersuchen')"
792,"(1423, 328, 308)","(792, 'rahmenloes glas einbauen')"
793,"(1424, 9, 1425, 1056)","(793, 'bediener von hebevorrichtung anleiten')"
794,"(1426, 89)","(794, 'forschungsvorhaben verfassen')"
795,"(1427, 7)","(795, 'konfliktmanagement anwenden')"
796,"(438, 120, 36, 9, 1428)","(796, 'technik zu ermittlung von geschäftsanforderung')"
797,"(1429, 461)","(797, 'englisch sprechen')"
798,"(127, 1430, 1431, 1432)","(798, 'lebensmittel ästhetisch aussehen verleihen')"
799,"(1433,)","(799, 'palettentype')"
800,"(1434, 7)","(800, 'ausfuhrstrategien anwenden')"
801,"(378, 460, 311)","(801, 'gesprochen bosnisch verstehen')"
802,"(119, 120, 1352, 122)","(802, 'beratung zu risikomanagement leisten')"
803,"(1435, 881, 1245)","(803, 'rechtlich entscheidung treffen')"
804,"(1436, 1437)","(804, 'informatica powercenter')"
805,"(1438,)","(805, 'gleisbautechnik')"
806,"(1439, 1285)","(806, 'herstellungsverfahrensparameter optimieren')"
807,"(1440, 65, 29, 1441)","(807, 'prototypentwicklung in der bekleidungsindustrie')"
808,"(1442, 1443, 9, 538, 51, 539, 810)","(808, 'nonverbal kommunikation von kunde und kundin interpretieren')"
809,"(136, 29, 1444, 330)","(809, 'art der gussform auswählen')"
810,"(747, 26, 1445, 60, 1446, 65, 29, 1447, 524)","(810, 'mensch mit behinderung bei aktivität in der gemeinschaft unterstützen')"
811,"(1448,)","(811, 'schleifbewegung')"
812,"(1449, 826)","(812, 'teilleistungsschwäch identifizieren')"
813,"(1450, 406)","(813, 'fragetechnike einsetzen')"
814,"(1451, 118)","(814, 'mediationspersonal managen')"
815,"(1452, 9, 1453, 18)","(815, 'analyse von schiffsdat durchführen')"
816,"(881, 120, 1454, 1245)","(816, 'entscheidung zu schminkprozess treffen')"
817,"(26, 284, 25, 40)","(817, 'mit physiotherapeutisch personal umgehen')"
818,"(1455, 58)","(818, 'rotations-vakuumtrommelfilter bedienen')"
819,"(1456, 1457, 637)","(819, 'mündlich anweisung erteilen')"
820,"(10, 93, 1458)","(820, 'vorschrift für tiertransport')"
821,"(59, 120, 1459, 180)","(821, 'gerät zu wasserdesinfektion verwenden')"
822,"(1460, 58)","(822, 'glasformmaschin bedienen')"
823,"(1461, 1462)","(823, 'bleiglasrut löten')"
824,"(1463,)","(824, 'mensch-roboter-kollaboration')"
825,"(857, 1464, 180)","(825, 'klinisch analysetechnik verwenden')"
826,"(863, 461)","(826, 'spanisch sprechen')"
827,"(1465,)","(827, 'klempnerwerkzeuge')"
828,"(1466, 12)","(828, 'uhr überprüfen')"
829,"(1467, 1468)","(829, 'finanzjargon erläutern')"
830,"(885, 1469, 93, 284, 285, 42)","(830, 'strategisch plan für physiotherapeutisch dienstleistung entwickeln')"
831,"(1470,)","(831, 'arbeitsmedizin')"
832,"(743, 107, 1471, 222)","(832, 'finanz ein spielbank überwachen')"
833,"(378, 1472, 311)","(833, 'gesprochen persisch verstehen')"
834,"(1394, 1095)","(834, 'produktionsplan anpassen')"
835,"(538, 51, 539, 226, 1473, 1474, 203)","(835, 'kunde und kundin über angemessen tierpflege beraten')"
836,"(1475, 1476)","(836, 'rieme strecken')"
837,"(1477, 51, 1478)","(837, 'metall und metallerzeugnis')"
838,"(1479, 9, 1480, 1481)","(838, 'attraktion von themenpark ankündigen')"
839,"(318, 29, 1482)","(839, 'verfahren der holzbearbeitung')"
840,"(1483, 1484)","(840, 'systemorientiert denken')"
841,"(26, 807, 1485, 1486, 318)","(841, 'mit verschieden flugnavigationsbereichen verbunden verfahren')"
842,"(1487, 237)","(842, 'arbeitslosenquot analysieren')"
843,"(59, 93, 1488, 519)","(843, 'gerät für schlosserarbeit nutzen')"
844,"(205, 93, 29, 1489)","(844, 'ausrüstung für der reitsport')"
845,"(136, 1490, 321)","(845, 'art pflanzlich stoff')"
846,"(1300, 1491)","(846, 'apache tomcat')"
847,"(1492, 83)","(847, 'negativ bearbeiten')"
848,"(1493, 18)","(848, 'stellenanalysen durchführen')"
849,"(515, 29, 1494, 67)","(849, 'grundlage der kunst vermitteln')"
850,"(120, 107, 232, 1495, 286)","(850, 'zu ein künstlerisch ansatz beitragen')"
851,"(1496, 836, 107, 1497, 1498, 1499)","(851, 'gegenüber kollege ein zielorientiert führungsrolle einnehmen')"
852,"(1500,)","(852, 'wasserströmung')"
853,"(143, 144, 120, 1501, 29, 554, 29, 1502, 203)","(853, 'patient patientin zu möglichkeit der verbesserung der hörvermögen beraten')"
854,"(1503, 1380, 1504)","(854, 'anfrage schriftlich beantworten')"
855,"(1505, 1506)","(855, 'gewichtsabnahmeplan erörtern')"
856,"(93, 29, 1507, 9, 1508, 93, 823, 1446, 1088)","(856, 'für der bereitstellung von ressource für körperlich aktivität sorgen')"
857,"(1017, 200, 440, 51, 452, 986, 1142, 65, 81, 28, 127, 342)","(857, 'gesundheit sicherheit hygiene und anderer wichtig rechtsvorschrift in bezug auf lebensmittel einhalten')"
858,"(60, 29, 91, 9, 6, 93, 29, 1509, 9, 1263, 1264, 962)","(858, 'bei der entwicklung von praktik für der wohlbefinden von mitarbeiter mitarbeiterin assistieren')"
859,"(1148, 1409, 541)","(859, 'finanzhilfe ausfindig machen')"
860,"(1510,)","(860, 'beratungsmethode')"
861,"(1511, 1512)","(861, 'prozessoptimierung vorantreiben')"
862,"(1513, 9, 1480, 77, 78)","(862, 'gerätschaft von themenpark instand halten')"
863,"(1514, 107, 1515, 1516, 1517, 1518)","(863, 'bauteil ein werkstuck vor bearbeitung schützen')"
864,"(1519, 1520)","(864, 'originalmelodien komponieren')"
865,"(1521,)","(865, 'ui-software-entwurfsmuster')"
866,"(1128, 29, 1522, 1523)","(866, 'zusammensetzung der firniss angleichen')"
867,"(254, 65, 29, 243, 1017, 200, 51, 1524, 605)","(867, 'bewertung in der bereich gesundheit sicherheit und umwelt vornehmen')"
868,"(1525, 275)","(868, 'windturbinenschaufel prüfen')"
869,"(1107, 516, 1010)","(869, 'professionell krankenpflege anbieten')"
870,"(521, 522, 29, 726, 226, 29, 1526, 9, 1527, 983)","(870, 'nutzer nutzerinn der gesundheitssystem über der verwendung von medikament informieren')"
871,"(119, 120, 1528, 122)","(871, 'beratung zu bonitätseinstufung leisten')"
872,"(319, 18, 29, 1516, 29, 1529, 29, 1530, 62, 29, 1531, 1532, 46)","(872, 'kontrolle durchführen der vor der bewegen der flugzeug an der standplatz erforderlich sein')"
873,"(462, 93, 647, 269)","(873, 'muster für schuhwerk erstellen')"
874,"(309, 1533, 311)","(874, 'geschrieben isländisch verstehen')"
875,"(1534,)","(875, 'kindsgeburt')"
876,"(1535, 342)","(876, 'alkoholvorschriften einhalten')"
877,"(29, 1536, 222)","(877, 'der wäscheservice überwachen')"
878,"(672, 93, 1537, 1538, 296, 176)","(878, 'pflege für stationär aufgenommen tier bereitstellen')"
879,"(1539, 51, 1540)","(879, 'komplementär und alternativmedizin')"
880,"(1541, 65, 29, 1542, 222)","(880, 'futterplan in der weidewirtschaft überwachen')"
881,"(1543,)","(881, 'balneotherapie')"
882,"(1544, 1545, 180)","(882, 'traditionell teppichherstellungstechnik verwenden')"
883,"(1546,)","(883, 'energieumwandlung')"
884,"(283, 29, 1547, 165)","(884, 'qualität der weinberg beurteilen')"
885,"(1548, 663)","(885, 'kommunikationswissenschaften unterrichten')"
886,"(143, 144, 1549, 1550, 1551)","(886, 'patient patientin psychologisch unterstützung bieten')"
887,"(1552, 58)","(887, 'schwellen-clipmaschine bedienen')"
888,"(1553, 1068, 42)","(888, 'landwirtschaftspolitisch strategie entwickeln')"
889,"(1554, 151)","(889, 'übungseinheit vorbereiten')"
890,"(1555, 9, 1556, 787)","(890, 'einsetzbarkeit von schutzausrüstung sicherstellen')"
891,"(1557, 670)","(891, 'sendeprogramm lesen')"
892,"(1558, 102)","(892, 'rohrleitung kontrollieren')"
893,"(309, 1559, 311)","(893, 'geschrieben tamil verstehen')"
894,"(950, 1560, 622)","(894, 'psychotherapeutisch beziehung handhaben')"
895,"(1561,)","(895, 'reprografie')"
896,"(1256, 58)","(896, 'hammerwerk bedienen')"
897,"(107, 1562, 58)","(897, 'ein kamera bedienen')"
898,"(98, 371, 1563)","(898, 'landwirtschaftlich kosten einschätzen')"
899,"(1564, 1565, 83)","(899, 'eingehend elektronikmaterial bearbeiten')"
900,"(701, 93, 1566, 1112)","(900, 'inhalt für reisebroschür gestalten')"
901,"(60, 1567, 203)","(901, 'bei akquisition beraten')"
902,"(169, 970)","(902, 'biologisch medizin')"
903,"(1568, 58)","(903, 'lötanlage bedienen')"
904,"(1569, 65, 29, 1570, 216)","(904, 'wachstumstrend in der luftfahrt beobachten')"
905,"(1571, 1572)","(905, 'kostümfundus dokumentieren')"
906,"(523, 1573)","(906, 'sozial bündnis')"
907,"(1574, 420)","(907, 'tierfutterrohstoff entladen')"
908,"(1549, 1575, 7)","(908, 'psychologisch interventionsstrategie anwenden')"
909,"(38, 1576)","(909, 'abfall sortieren')"
910,"(1577,)","(910, 'sass')"
911,"(1578,)","(911, 'dermatologie')"
912,"(1579, 1580, 9, 1581, 1582)","(912, 'schädlich folge von futtermittelzusatzstoffe ausschließen')"
913,"(1583, 1584)","(913, 'einrichtungsprüfung erledigen')"
914,"(1585,)","(914, 'audiometrie')"
915,"(515, 29, 1586, 67)","(915, 'grundlage der pädagogik vermitteln')"
916,"(169, 1587)","(916, 'biologisch hämatologie')"
917,"(1588, 1589)","(917, 'verpflichtung erfüllen')"
918,"(1590, 308)","(918, 'schloß einbauen')"
919,"(1591, 9, 1592, 1593)","(919, 'benutzung von hardware vorführen')"
920,"(1594, 151)","(920, 'geschirr vorbereiten')"
921,"(1595, 58)","(921, 'monogrammdruckgerät bedienen')"
922,"(1596, 1015)","(922, 'cloud-architektur konzipieren')"
923,"(1597, 1598, 1599)","(923, 'militärisch truppe anführen')"
924,"(433, 1600, 18)","(924, 'forensisch untersuchung durchführen')"
925,"(1601, 42)","(925, 'abfallbewirtschaftungsverfahr entwickeln')"
926,"(1469, 120, 1602, 1603)","(926, 'plan zu ikt-sicherheit einführen')"
927,"(1604, 18)","(927, 'jugendaktivitäte durchführen')"
928,"(99, 120, 372, 9, 1605, 58)","(928, 'maschine zu herstellung von angelausrüstung bedienen')"
929,"(29, 1164, 1606, 519)","(929, 'der global vertriebsnetz nutzen')"
930,"(1607, 93, 29, 1608, 58)","(930, 'hebezeug für der seeverkehr bedienen')"
931,"(1609, 1610)","(931, 'schokolade temperieren')"
932,"(1611,)","(932, 'hardwareplattform')"
933,"(640, 15)","(933, 'lieferant ermitteln')"
934,"(1612, 18)","(934, 'haltbarkeitstest durchführen')"
935,"(1613, 273)","(935, 'bewuchs entfernen')"
936,"(1398, 57)","(936, 'leistungselektronik planen')"
937,"(1614,)","(937, 'qualitätssicherungsverfahren')"
938,"(1615, 93, 29, 1616, 1)","(938, 'sicherheitsnorm für der binnenschifffahrt verwalten')"
939,"(65, 1617, 1618, 874)","(939, 'in unternehmen inklusion fördern')"
940,"(1619, 93, 807, 1620, 1621, 1622, 542, 543, 275)","(940, 'kommunikationskanal für verschieden arbeitgeber arbeitgeberin bzw. auftragnehmer auftragnehmerinne prüfen')"
941,"(1623, 9, 1624, 498)","(941, 'umweltbedingung von gewächshaus koordinieren')"
942,"(1625,)","(942, 'it-forensik')"
943,"(152, 62, 621, 153)","(943, 'vorrat an rohstoff einkaufen')"
944,"(60, 1626, 51, 1627, 1550, 122)","(944, 'bei start und landen unterstützung leisten')"
945,"(1628, 1629)","(945, 'helpdesk-problem beheben')"
946,"(226, 87, 1630, 62, 1631, 663)","(946, 'über technisch vorgang an land unterrichten')"
947,"(1632, 42)","(947, 'bohrpfade entwickeln')"
948,"(936, 1633)","(948, 'politisch partei')"
949,"(1634, 707)","(949, 'regalbeschriftung ändern')"
950,"(65, 29, 1635, 51, 1636, 1637, 46)","(950, 'in der schuh und lederwarenbranche innovativ sein')"
951,"(1638, 135)","(951, 'interviewzweck erklären')"
952,"(1639, 3)","(952, 'flaschenreinigungsmaschin beaufsichtigen')"
953,"(1640, 93, 29, 1641, 1642)","(953, 'gelände für der rohrleitungsverlegung begutachten')"
954,"(1643, 308)","(954, 'holzbauteil einbauen')"
955,"(781, 1644)","(955, 'international handel')"
956,"(1645, 58)","(956, 'pumpanlage bedienen')"
957,"(1646,)","(957, 'blutspende')"
958,"(1647, 142)","(958, 'flugunfall untersuchen')"
959,"(1648, 65, 29, 1649, 58)","(959, 'vibrations-zuteilrinn in der lebensmittelherstellung bedienen')"
960,"(1650, 1068, 42)","(960, 'wettbewerbspolitisch strategie entwickeln')"
961,"(1651, 65, 164, 324)","(961, 'rangieranweisunge in eisenbahnbetrieb befolgen')"
962,"(1068, 93, 1652)","(962, 'strategie für informationssicherheit')"
963,"(1653, 1654)","(963, 'transportsystem entwerfen')"
964,"(200, 9, 872, 873, 21)","(964, 'sicherheit von schüler schülerin gewährleisten')"
965,"(1655, 510)","(965, 'pelztier schlachten')"
966,"(766, 9, 961, 1122)","(966, 'datum von prospektion aufzeichnen')"
967,"(1564, 1069, 1656)","(967, 'eingehend ladung rangieren')"
968,"(119, 120, 1657, 122)","(968, 'beratung zu personalmanagement leisten')"
969,"(26, 29, 1658, 761)","(969, 'mit der filmediting-team zusammenarbeiten')"
970,"(1659, 1477, 65, 1660, 1661)","(970, 'flüssig metall in gussforme leer')"
971,"(1662, 57)","(971, 'interaktionsmodell planen')"
972,"(1663, 1112)","(972, 'fußboden gestalten')"
973,"(1664, 222)","(973, 'schienentransportmaschine überwachen')"
974,"(970,)","(974, 'medizin')"
975,"(1665, 311)","(975, 'nvocc-vorschrift verstehen')"
976,"(1666, 1667, 93, 1668, 333, 275)","(976, 'verbessert managementsystem für flugtechnisch information prüfen')"
977,"(312, 1)","(977, 'aufzeichnung verwalten')"
978,"(1669, 498)","(978, 'schiffsbesatzung koordinieren')"
979,"(917, 120, 232, 887, 1670)","(979, 'feedback zu künstlerisch leistung akzeptieren')"
980,"(178, 49)","(980, 'organisieren arbeiten')"
981,"(1671, 670)","(981, 'skript lesen')"
982,"(1362, 1672)","(982, 'farbe mischen')"
983,"(1673, 551)","(983, 'schnarchproblem behandeln')"
984,"(1674, 132)","(984, 'vakuumkammer warten')"
985,"(1675, 1676, 1677)","(985, 'geschäftlich vertrag schließen')"
986,"(1142, 120, 1278, 458)","(986, 'rechtsvorschrift zu tierisch erzeugnis')"
987,"(1678, 459)","(987, 'hausaufgabe aufgeben')"
988,"(1679, 1680, 51, 1681, 1682)","(988, 'geeignet heiz und kühlsystem bestimmen')"
989,"(499, 220)","(989, 'punjabi schreiben')"
990,"(1198, 658, 180)","(990, 'augenärztlich instrument verwenden')"
991,"(1683, 222)","(991, 'skripterstellung überwachen')"
992,"(1684, 1685)","(992, 'radioaktiv kontamination')"
993,"(1686, 29, 1687, 18)","(993, 'fehleranalyse der produktionsprozess durchführen')"
994,"(1688, 353)","(994, 'preisdatenbank pflegen')"
995,"(1689,)","(995, 'herstellungsverfahren')"
996,"(1690, 93, 915, 1691)","(996, 'software für optisch zeichenerkennung')"
997,"(1692, 180)","(997, 'stammeise verwenden')"
998,"(1693,)","(998, 'dolmetschart')"
999,"(450, 1397, 60, 29, 1649, 180)","(999, 'neu technologie bei der lebensmittelherstellung verwenden')"
1000,"(1694,)","(1000, 'gefahrguttransport')"
1001,"(1695, 237)","(1001, 'darlehen analysieren')"
1002,"(26, 1696, 1146, 29, 1697, 40)","(1002, 'mit schwierig herausforderung der veterinärsektor umgehen')"
1003,"(1698, 60, 1699, 18)","(1003, 'rettungsarbeit bei verkehrsunfäll durchführen')"
1004,"(1700, 93, 647, 695)","(1004, 'marketingplan für schuhwerk umsetzen')"
1005,"(1701, 93, 174, 122)","(1005, 'hausaufgabenhilfe für kind leisten')"
1006,"(1702, 1703)","(1006, 'gravurwerkzeug ausrichten')"
1007,"(1704, 1705, 1706)","(1007, 'geformt tierkörper vollend')"
1008,"(1707, 1708, 220)","(1008, 'fehlerfrei dokument schreiben')"
1009,"(152, 62, 87, 1508, 1)","(1009, 'vorrat an technisch ressource verwalten')"
1010,"(1709, 93, 29, 1526, 65, 107, 1710, 151)","(1010, 'milcherzeugnisse für der verwendung in ein gericht vorbereiten')"
1011,"(1711, 1712)","(1011, 'versandkost minimieren')"
1012,"(538, 226, 1713, 983)","(1012, 'kunde über tee-sort informieren')"
1013,"(296, 65, 1714, 1715)","(1013, 'tier in falle fangen')"
1014,"(1716, 1717)","(1014, 'flüssiggüter überleiten')"
1015,"(1718, 1719)","(1015, 'kaninchen züchten')"
1016,"(1720, 93, 382, 695)","(1016, 'notfallplan für flughafen umsetzen')"
1017,"(1721, 1722, 51, 1723)","(1017, 'mund kiefer und gesichtschirurgie')"
1018,"(1724, 51, 1725, 222)","(1018, 'kassierer und kassiererin überwachen')"
1019,"(1726, 93, 201, 994)","(1019, 'unterhaltungsangebot für gast betreuen')"
1020,"(807, 1727, 1728)","(1020, 'verschieden weingeschmäcker beschreiben')"
1021,"(1729,)","(1021, 'patent')"
1022,"(1730,)","(1022, 'lernbedarfsanalyse')"
1023,"(26, 143, 144, 26, 1731, 555, 40)","(1023, 'mit patient patientin mit akut erkrankung umgehen')"
1024,"(1732, 7)","(1024, 'weichlöttechniken anwenden')"
1025,"(1733,)","(1025, 'partikelanimation')"
1026,"(1734, 226, 51, 254, 9, 1676, 18)","(1026, 'berichterstattung über und bewertung von vertrag durchführen')"
1027,"(1735,)","(1027, 'kundensegmentierung')"
1028,"(120, 1736, 29, 145, 1737, 286)","(1028, 'zu kontinuität der medizinisch versorgung beitragen')"
1029,"(1738,)","(1029, 'flughafenplanung')"
1030,"(65, 107, 624, 9, 1739, 49)","(1030, 'in ein team von landschaftsbauer arbeiten')"
1031,"(1740, 55)","(1031, 'wechselrichter installieren')"
1032,"(1741, 1742, 18)","(1032, 'metallurgisch strukturanalys durchführen')"
1033,"(939, 940, 57)","(1033, 'pyrotechnisch effekt planen')"
1034,"(1743, 226, 29, 1744, 9, 1139)","(1034, 'gesetz über der beförderung von gefahrgüter')"
1035,"(1745, 1136)","(1035, 'industriecontainer reinigen')"
1036,"(857, 1746)","(1036, 'klinisch immunologie')"
1037,"(1747, 58)","(1037, 'lichtsteuerpult bedienen')"
1038,"(1748, 9, 1749, 74)","(1038, 'teil von tabakpfeif herstellen')"
1039,"(297, 29, 823, 1750, 1095)","(1039, 'sich der körperlich anforderung anpassen')"
1040,"(1751, 250)","(1040, 'dachdichtungsbahnen verlegen')"
1041,"(1752, 93, 538, 51, 539, 18)","(1041, 'modeberatung für kunde und kundin durchführen')"
1042,"(1753, 1754)","(1042, 'visual basic')"
1043,"(1755,)","(1043, 'weineigenschaft')"
1044,"(1756, 1757, 1136)","(1044, 'eng raum reinigen')"
1045,"(1017, 51, 200, 65, 29, 1758)","(1045, 'gesundheit und sicherheit in der textilindustrie')"
1046,"(1759,)","(1046, 'ernährung')"
1047,"(107, 1760, 530, 1761, 360)","(1047, 'ein rettungswagen unter notfallbedingungen fahren')"
1048,"(1762, 250)","(1048, 'ziegelstein verlegen')"
1049,"(932, 695)","(1049, 'marketingstrategie umsetzen')"
1050,"(1763,)","(1050, 'sa8000')"
1051,"(1708, 120, 1764, 151)","(1051, 'dokument zu scannen vorbereiten')"
1052,"(333, 120, 285, 29, 1765, 176)","(1052, 'information zu dienstleistung der schule bereitstellen')"
1053,"(574, 1766)","(1053, 'gut herstellungspraxis')"
1054,"(1767,)","(1054, 'fischereiverwaltung')"
1055,"(226, 29, 574, 136, 65, 29, 1768, 1769, 203)","(1055, 'über der gut art in der landschaft eingreifen beraten')"
1056,"(1303, 882, 107, 1770, 1771)","(1056, 'artikel während ein auktion präsentieren')"
1057,"(309, 1772, 311)","(1057, 'geschrieben baskisch verstehen')"
1058,"(1773, 1774)","(1058, 'leichenhalle besuchen')"
1059,"(1775, 65, 1776)","(1059, 'verarbeitung in blanchiermaschin')"
1060,"(1777, 93, 1778)","(1060, 'qualitätskriteri für lagereinrichtunge')"
1061,"(1779, 178)","(1061, 'qualitätszirkel organisieren')"
1062,"(1780,)","(1062, 'alarmanlage')"
1063,"(1781, 93, 1782, 151)","(1063, 'schulungsveranstaltung für lehrkräfte vorbereiten')"
1064,"(1783, 308)","(1064, 'kochherde einbauen')"
1065,"(1784, 259)","(1065, 'schreitausbau betreiben')"
1066,"(1785, 29, 1786, 222)","(1066, 'prozess der weinproduktion überwachen')"
1067,"(378, 1787, 311)","(1067, 'gesprochen estnisch verstehen')"
1068,"(1788, 243, 9, 454, 1136)","(1068, 'bestimmt bereich von hand reinigen')"
1069,"(136, 29, 1789, 150)","(1069, 'art der ätherisch öl')"
1070,"(26, 29, 1790, 1791, 1292)","(1070, 'mit der flugverkehrsdienst ats kommunizieren')"
1071,"(1792, 1508, 1793, 107, 1794, 147)","(1071, 'physikalisch ressource innerhalb ein arbeitsbereich transportieren')"
1072,"(119, 120, 1795, 122)","(1072, 'beratung zu lehrplanentwicklung leisten')"
1073,"(1796,)","(1073, 'werkstoffkunde')"
1074,"(1797,)","(1074, 'batterieflüssigkeit')"
1075,"(1798,)","(1075, 'business-intelligence')"
1076,"(65, 1059, 1799, 272, 29, 1617, 1)","(1076, 'in lager vorgehalten material der unternehmen verwalten')"
1077,"(399, 65, 76, 111)","(1077, 'wasserqualität in aquakultur aufrechterhalten')"
1078,"(226, 1800, 663)","(1078, 'über grubenentwicklunge unterrichten')"
1079,"(1801, 102)","(1079, 'fahrzeugleistung kontrollieren')"
1080,"(226, 1802, 1803, 983)","(1080, 'über steuerlich pflicht informieren')"
1081,"(1804, 51, 1805, 153)","(1081, 'obst und gemüse einkaufen')"
1082,"(1806, 188)","(1082, 'reinigungsarbeite ausführen')"
1083,"(1807, 874)","(1083, 'sozialversicherungsprogramm fördern')"
1084,"(446, 1808, 1)","(1084, 'digital bibliothek verwalten')"
1085,"(93, 29, 1809, 9, 1810, 1088)","(1085, 'für der funktionsfähigkeit von antriebsmaschinen sorgen')"
1086,"(1811, 1812)","(1086, 'oberfläche desinfizieren')"
1087,"(65, 107, 624, 9, 1813, 1814, 49)","(1087, 'in ein team von fischer fischerinne arbeiten')"
1088,"(1815, 93, 807, 1816, 269)","(1088, 'umsatzprognosen für verschieden zeitraum erstellen')"
1089,"(1550, 60, 29, 1817, 29, 1818, 1819, 122)","(1089, 'unterstützung bei der erstellung der jährlich haushaltsplan leisten')"
1090,"(60, 733, 1820, 318, 962)","(1090, 'bei allgemein veterinärmedizinisch verfahren assistieren')"
1091,"(1821,)","(1091, 'fernmeldetechnik')"
1092,"(1822, 265, 1823)","(1092, 'ikonografisch quelle konsultieren')"
1093,"(1824, 680)","(1093, 'zement befördern')"
1094,"(87, 711, 1825)","(1094, 'technisch problem lösen')"
1095,"(1826, 51, 1827, 1)","(1095, 'lkw-fahrer und fahrerinn verwalten')"
1096,"(1828, 1829, 180)","(1096, 'manuell stricktechnike verwenden')"
1097,"(1830, 14, 176)","(1097, 'karitativ dienst bereitstellen')"
1098,"(1831,)","(1098, 'bobath-therapie')"
1099,"(26, 1832, 40)","(1099, 'mit gläser umgehen')"
1100,"(1833, 93, 29, 1834, 1835, 29, 857, 1836)","(1100, 'bedingung für der beruflich praxis der klinisch psychologie')"
1101,"(378, 1837, 311)","(1101, 'gesprochen montenegrinisch verstehen')"
1102,"(1838,)","(1102, 'oralchirurgie')"
1103,"(523, 1839)","(1103, 'sozial innovation')"
1104,"(1840, 222)","(1104, 'larvenwachstum überwachen')"
1105,"(1841, 58)","(1105, 'autogenschweißbrenner bedienen')"
1106,"(1842, 62, 1843, 18)","(1106, 'test an flughafenfahrzeuge durchführen')"
1107,"(1844, 9, 1845)","(1107, 'taxonomie von organismus')"
1108,"(678, 120, 1846, 9, 1847, 58)","(1108, 'ofen zu einbrennen von glasmalereifarbe bedienen')"
1109,"(1848, 146, 9, 76, 77, 78)","(1109, 'wasserbasiert einrichtung von aquakultur instand halten')"
1110,"(1830, 14, 498)","(1110, 'karitativ dienst koordinieren')"
1111,"(1849, 1850)","(1111, 'adobe photoshop')"
1112,"(1851,)","(1112, 'seismologie')"
1113,"(93, 107, 1852, 1853)","(1113, 'für ein sache eintreten')"
1114,"(1854, 695)","(1114, 'ikt-sicherheitsstrategie umsetzen')"
1115,"(1017, 51, 1855, 65, 484, 874)","(1115, 'gesundheit und sicherheitsstrategie in gesundheitswesen fördern')"
1116,"(1856, 1857, 1858)","(1116, 'sportprogramm individuell zuschneiden')"
1117,"(29, 158, 508, 9, 872, 873, 1823)","(1117, 'der persönlich umfeld von schüler schülerin konsultieren')"
1118,"(1859, 51, 1860, 222)","(1118, 'schädling und seuchenbekämpfung überwachen')"
1119,"(297, 26, 1861, 860)","(1119, 'sich mit müllwerker verständigen')"
1120,"(1862, 1642)","(1120, 'hund begutachten')"
1121,"(863,)","(1121, 'spanisch')"
1122,"(1549, 1415)","(1122, 'psychologisch diagnostik')"
1123,"(1863, 42)","(1123, 'glücksspielkonzept entwickeln')"
1124,"(1864, 18)","(1124, 'hitzebehandlung durchführen')"
1125,"(1865, 93, 29, 1866, 9, 1139, 89)","(1125, 'notfallanweisungen für der handhabung von gefahrgüter verfassen')"
1126,"(1867,)","(1126, 'kunstsammlung')"
1127,"(1868, 220)","(1127, 'russisch schreiben')"
1128,"(1869, 1870, 1871)","(1128, 'ibm infosphere datastage')"
1129,"(309, 1044, 311)","(1129, 'geschrieben javanisch verstehen')"
1130,"(555, 29, 1872, 1873)","(1130, 'erkrankung der gefäßsystem diagnostizieren')"
1131,"(1874, 51, 335, 167)","(1131, 'leitung und verantwortung ausüben')"
1132,"(29, 136, 9, 1875, 135)","(1132, 'der art von blutgerinnungsstörung erklären')"
1133,"(1876, 77, 78)","(1133, 'kettenzug instand halten')"
1134,"(380, 1466)","(1134, 'elektrisch uhr')"
1135,"(62, 1877, 1101)","(1135, 'an sporttraining teilnehmen')"
1136,"(119, 226, 1878, 120, 1879, 1880, 555, 122)","(1136, 'beratung über pränataldiagnostik zu genetisch bedingt erkrankung leisten')"
1137,"(915, 458, 1368)","(1137, 'optisch erzeugnis verkaufen')"
1138,"(1881, 93, 1882, 12)","(1138, 'zeitplan für produktionsablauf überprüfen')"
1139,"(1883,)","(1139, 'holzfeucht')"
