,concept_uri,preferred_label
108,http://data.europa.eu/esco/skill/0253b09a-7217-43fc-b62f-e6b23ffebac9,Filmskript erstellen
109,http://data.europa.eu/esco/skill/0256f6b0-f4a9-4c5e-9cfd-96d58a2a70fe,Funkgeräte bedienen
110,http://data.europa.eu/esco/skill/02619401-8e21-46e5-8f19-204747fd755d,kontaminiertes Material entfernen
111,http://data.europa.eu/esco/skill/026db24f-6972-460b-a784-d34afaf8d498,Lackqualität prüfen
112,http://data.europa.eu/esco/skill/027f47ba-2435-47dc-9fd3-5f05c6a52e93,Kartonagengrößen
113,http://data.europa.eu/esco/skill/02820870-3b92-480b-8475-8a521563ea3c,Finanzinformationen über die Immobilie sammeln
114,http://data.europa.eu/esco/skill/0295b2a4-fb86-495f-9547-d479532fc4c2,Finanztransaktionen zurückverfolgen
115,http://data.europa.eu/esco/skill/029e2bb0-6dd8-4600-bb89-ac7480ae8fb0,zu Veranstaltungen zur Qualität von physiotherapeutischen Dienstleistungen beitragen
116,http://data.europa.eu/esco/skill/02a78cf3-8b31-4911-bcad-c989a1b7ff40,Radiatoren installieren
117,http://data.europa.eu/esco/skill/02ae2a55-4b7c-41d2-86ec-9a2a38b73fe6,Beratung zu Pflegeprodukten für Haustiere leisten
118,http://data.europa.eu/esco/skill/02b6350e-433a-42b1-b620-92fc53b9a14d,Fernerkundungsanlagen bedienen
119,http://data.europa.eu/esco/skill/02bbd0fb-b108-49a8-9c48-5b0c447d3fdf,Treppensteigung und Treppenlauf berechnen
120,http://data.europa.eu/esco/skill/02bf9522-bd6e-4482-be03-1827483be21a,Erste Hilfe für Tiere
121,http://data.europa.eu/esco/skill/02c1a369-f1e7-4f8e-8882-d7ded57f9cf4,sich in Outdoor-Gruppen einfühlen
122,http://data.europa.eu/esco/skill/02c462b7-b93b-44a7-ba3a-9d3b7a163f51,Hintergrundinformationen zu Nachrichten zur Verfügung stellen
123,http://data.europa.eu/esco/skill/02c71cde-f513-43da-8952-0974763c7568,Schaltpläne
124,http://data.europa.eu/esco/skill/02c7caf4-4e8b-4745-8917-dbbd3af17c28,künstlerische Produktionen ausarbeiten
125,http://data.europa.eu/esco/skill/02d5c52b-e7f9-4d8c-adc2-d0332f49535b,Passagier-Serviceeinheiten einbauen
126,http://data.europa.eu/esco/skill/02d68c2b-1722-4440-8e25-376650e123c8,geschriebenes Koreanisch verstehen
127,http://data.europa.eu/esco/skill/02e0b3e9-c9e0-4063-983b-b5a7697e0f78,Aufzeichnungen über Feststellungen bei Brückenprüfungen führen
128,http://data.europa.eu/esco/skill/02e1ca57-0715-438b-886d-f0f938ac3efc,Sandstrahlmaschinenteile
129,http://data.europa.eu/esco/skill/02e22093-3436-46a8-8dc5-b041bc4800cc,Modelle erstellen
130,http://data.europa.eu/esco/skill/02e235f4-a30a-412a-a06e-1c471ad28678,Verfahren zur Kontrolle von gefährlichen Stoffen im Rahmen der Gesundheitsvorschriften befolgen
131,http://data.europa.eu/esco/skill/02eeea19-76db-4d19-bb8b-a649c0fbe796,visuellen Eindruck von Auslagen beurteilen
132,http://data.europa.eu/esco/skill/02f115d8-9e14-499c-97c1-f9eac282edc5,Gläser zum Servieren auswählen
133,http://data.europa.eu/esco/skill/03006fd3-254f-44bc-aa8f-dfe1c727463e,Herz-Kreislauf-System
134,http://data.europa.eu/esco/skill/0302f93a-0d38-4c00-bc37-eda17b6316ea,Biosicherheit im Zusammenhang mit Tieren
135,http://data.europa.eu/esco/skill/030de41b-bb8b-4e4b-859c-9afd4c17605b,Information zu Verschreibungen überprüfen
136,http://data.europa.eu/esco/skill/03134e63-81eb-439a-b6eb-7de49ae01bbd,Verantwortung für die Wahrung einer sicheren Umgebung auf dem Schiff übernehmen
137,http://data.europa.eu/esco/skill/031bfd8d-af80-4606-b4bb-6de4d5da6249,Hygienepraktiken in der Fischerei einhalten
138,http://data.europa.eu/esco/skill/03227978-f839-4cc8-88a6-0a3c44d2c776,Arbeit an der Konstruktionsplanung beaufsichtigen
139,http://data.europa.eu/esco/skill/032867c3-3c53-42ad-aabe-030eeb6292ab,Bäume vermessen
140,http://data.europa.eu/esco/skill/0329ab41-3212-4e4f-8112-9e9ff5217f7b,Dauben biegen
141,http://data.europa.eu/esco/skill/032a4ab8-1034-4541-8037-b2cdcc7fd19a,Musik für die Aufführung auswählen
142,http://data.europa.eu/esco/skill/032b0bed-22b1-456b-8009-91e6b838fe45,geologische Kartografie
143,http://data.europa.eu/esco/skill/03305638-bd08-410a-a960-f963ad89cce6,Elektronenstrahlschweißanlage pflegen
144,http://data.europa.eu/esco/skill/0332f526-6dc0-4f09-8a7c-2b9473c50736,Zugänglichkeit der Infrastruktur gewährleisten
145,http://data.europa.eu/esco/skill/03353964-657a-4737-9afc-1ca9ec04195b,Tischgedecke prüfen
146,http://data.europa.eu/esco/skill/0337c577-f837-4518-9263-b753c24f3a21,ein Auto mit automatischem Getriebe fahren
147,http://data.europa.eu/esco/skill/033d6175-fa43-4d75-8e2c-6df348ffa0c8,Infusionen vorbereiten
148,http://data.europa.eu/esco/skill/03459358-3f0f-4b13-a143-890e2da798d3,elektronische Geräte konfigurieren
149,http://data.europa.eu/esco/skill/034c29fa-c3ba-45ea-b8f3-bf8e3705e386,Erlang
150,http://data.europa.eu/esco/skill/03500955-88a6-4c3d-a8c0-7594409dcff0,spezielle Notfallausrüstung bedienen
151,http://data.europa.eu/esco/skill/03520ff5-9e68-434b-91fa-3ced9c085159,Verkaufsfläche planen
152,http://data.europa.eu/esco/skill/03589d0d-a6f0-4d68-b5eb-dafbc6833efe,Broschüren verfassen
153,http://data.europa.eu/esco/skill/03598f35-15f1-41fa-bd8a-313e74523307,Goldschmiedewerkzeuge verwenden
154,http://data.europa.eu/esco/skill/0359f76c-3ef3-4e52-abcf-1b2b32ed20a5,Weine kosten
155,http://data.europa.eu/esco/skill/035afc40-e8fc-448f-b287-1a973fb5aa93,Herstellung von Armaturen
156,http://data.europa.eu/esco/skill/0361c099-da6c-404e-984b-a8b8a0c017d1,sensorische Parameter von Ölen und Fetten kontrollieren
157,http://data.europa.eu/esco/skill/0377c027-2839-4b30-9acb-bb68daf925f5,Kokillenteile instand halten
158,http://data.europa.eu/esco/skill/037b5e5f-db3c-40cd-864e-5b9b9a3a080d,gesprochenes Ungarisch verstehen
159,http://data.europa.eu/esco/skill/037c8da7-6a0d-42b8-b979-c4abe7c92d48,Wartung von elektrischen Anlagen am Flughafen terminieren
160,http://data.europa.eu/esco/skill/038256f5-7b18-4e6f-8314-2401be1b601b,prästationäre Notfall-Traumaversorgung leisten
161,http://data.europa.eu/esco/skill/038a6d0f-787f-4f71-aac6-bd54e16c57cf,Geschichte des Tabaks
162,http://data.europa.eu/esco/skill/03a0ab28-ce99-4e14-baf8-a66c55da28f8,Eventmanagement durchführen
163,http://data.europa.eu/esco/skill/03a53283-d3ee-41c1-ab3e-eb806616440e,gesprochenes Walisisch verstehen
164,http://data.europa.eu/esco/skill/03a74eee-2dc6-4147-8667-5cdeb65f122d,IKT-Datenklassifizierung steuern
165,http://data.europa.eu/esco/skill/03aa85d2-9a67-455f-b901-595e685afdd2,Bögenaufzeichnungen führen
166,http://data.europa.eu/esco/skill/03af6b34-0137-4337-8a7f-521dbef4925f,Gummilösung aufpinseln
167,http://data.europa.eu/esco/skill/03b9453e-d14d-46bc-baf5-f6a6fbaa3bb7,Lederwarenkollektion entwickeln
168,http://data.europa.eu/esco/skill/03b9b491-fc9b-4868-914a-bf7cd47b5041,Problemlösungen finden
169,http://data.europa.eu/esco/skill/03bc5f23-4317-41c2-9528-2db5c3c87b85,kulturelle Trends analysieren
170,http://data.europa.eu/esco/skill/03bc85d5-78f0-4409-86ed-87dc35345760,Wasserqualität in Gehegen beurteilen
171,http://data.europa.eu/esco/skill/03ca6934-62ac-42e8-aca0-9e7c10bb1684,den Aufbau einer Live-Performance verstehen
172,http://data.europa.eu/esco/skill/03cf7836-708c-4d43-94ed-3d8beb170655,Elektrolyten an Kathoden und Anoden einsetzen
173,http://data.europa.eu/esco/skill/03d8e93a-861a-45d3-a2d6-80781d6af1c9,Haarschneidetechniken
174,http://data.europa.eu/esco/skill/03d93b02-a461-4815-a4c0-b46451afc1c2,Forderungsanmeldung verwalten
175,http://data.europa.eu/esco/skill/03d93bf5-3c09-489c-a0d7-a895b068041a,Tiere retten
176,http://data.europa.eu/esco/skill/03d988af-2e63-4151-bb5e-950f366e2c64,Schiffe in Hafenbecken leiten
177,http://data.europa.eu/esco/skill/03f922b0-d518-457d-8f2c-80252a714be1,Kriminologie
178,http://data.europa.eu/esco/skill/03ff0d53-573a-47a0-a0ad-1995815a4339,Informationsstruktur
179,http://data.europa.eu/esco/skill/04012dd1-478d-4eec-9951-dd623bfe86ca,klimafreundliche Landwirtschaft
180,http://data.europa.eu/esco/skill/0415142d-6921-4f8d-832b-6271382b8193,Materialien prüfen
