conceptType,conceptUri,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,inScheme,description,code
SkillGroup,http://data.europa.eu/esco/skill/S1.5.7,Beratung zu geschäftlichen oder betrieblichen Angelegenheiten,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,S1.5.7
SkillGroup,http://data.europa.eu/esco/skill/S1.5.8,Beratung zu Bildungs- oder Berufsbildungsthemen,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,S1.5.8
SkillGroup,http://data.europa.eu/esco/skill/S1.5.9,Beratung zu Sicherheit und Gesundheitsschutz am Arbeitsplatz,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,S1.5.9
SkillGroup,http://data.europa.eu/esco/skill/S1.6,"Werbung, Verkauf und Kauf",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,S1.6
SkillGroup,http://data.europa.eu/esco/skill/S1.6.0,"Werbung, Verkauf und Kauf",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,S1.6.0
SkillGroup,http://data.europa.eu/esco/skill/S1.6.1,Verkauf von Waren oder Dienstleistungen,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,S1.6.1
SkillGroup,http://data.europa.eu/esco/skill/S1.6.2,"Werbung für Waren, Dienstleistungen oder Programme",,,released,2021-10-14T12:51:02.458Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,S1.6.2
SkillGroup,http://data.europa.eu/esco/skill/S1.6.3,Kauf von Waren oder Dienstleistungen,,,released,2020-12-09T21:52:27.322Z,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,S1.6.3
SkillGroup,http://data.europa.eu/esco/skill/S1.7,Mündliche Einholung von Informationen,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,S1.7
SkillGroup,http://data.europa.eu/esco/skill/S1.7.0,Mündliche Einholung von Informationen,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,S1.7.0
SkillGroup,http://data.europa.eu/esco/skill/S1.7.1,Befragungen,,,released,2021-09-20T14:03:31.797Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,S1.7.1
